participant,condition,engine,phase,target_index,average_offset_x,average_offset_y,percent_in_roi,recalibration_performed
P01,B,old,initial_validation,1,101.7442232461051,-4.918136928745383,90,True
P01,B,old,initial_validation,2,36.51575306410041,5.06038293706419,100,True
P01,B,old,initial_validation,3,70.02499985457655,53.380344158887624,100,True
P01,B,old,initial_validation,4,-53.0341565610928,73.70973875297705,90,True
P01,B,old,initial_validation,5,-44.9948161892396,103.0130689591366,80,True
P01,B,old,final_validation,1,23.881067511039134,10.413492531493091,90,True
P01,B,old,final_validation,2,-7.820994019930822,87.3842040537055,100,True
P01,B,old,final_validation,3,38.97206014979929,-82.84232488231157,100,True
P01,B,old,final_validation,4,-52.89138590671308,-47.132153592247846,100,True
P01,B,old,final_validation,5,34.72972895240332,65.36188297388401,80,True
P04,B,old,initial_validation,1,-60.495834338149336,15.979785968262831,100,True
P04,B,old,initial_validation,2,-54.42548559036527,34.915233600598754,100,True
P04,B,old,initial_validation,3,-100.38284371292934,-134.44134854835988,80,True
P04,B,old,initial_validation,4,17.037359924670625,-29.084551321679783,100,True
P04,B,old,initial_validation,5,-22.536047214660357,6.691014519571468,100,True
P04,B,old,final_validation,1,7.880186641030832,232.44330917772294,70,True
P04,B,old,final_validation,2,-8.951636281936317,-71.2295175456764,90,True
P04,B,old,final_validation,3,-45.62910041538203,37.17838250731921,90,True
P04,B,old,final_validation,4,-9.935267800885072,237.23236853055573,10,True
P04,B,old,final_validation,5,-203.4286371804326,177.35233678533643,10,True
P26,A,old,initial_validation,1,58.550167569778466,9.882693525547467,100,True
P26,A,old,initial_validation,2,-13.564813567489637,97.37586417991082,80,True
P26,A,old,initial_validation,3,-9.513000037664597,87.57105104579523,90,True
P26,A,old,initial_validation,4,62.63723252859853,49.95781731231011,90,True
P26,A,old,initial_validation,5,42.53583080795988,-53.08142620792785,100,True
P26,A,old,final_validation,1,59.16182969920749,32.95127082353534,100,True
P26,A,old,final_validation,2,-52.17394981521625,157.36377024653126,60,True
P26,A,old,final_validation,3,-225.0531709211499,0.3635285728634585,30,True
P26,A,old,final_validation,4,47.28795600481516,-157.6937881953205,60,True
P26,A,old,final_validation,5,-84.65010701386154,62.1541677957714,80,True
P51,A,old,initial_validation,1,-36.61728546913935,-12.553365203420924,100,True
P51,A,old,initial_validation,2,-84.88080534003598,1.1789746186019272,90,True
P51,A,old,initial_validation,3,67.1458786614345,-7.992240255489492,100,True
P51,A,old,initial_validation,4,41.069804435520496,-167.5108809337355,90,True
P51,A,old,initial_validation,5,15.955276791546112,-114.16041996048779,100,True
P51,A,old,final_validation,1,15.27561886650409,-82.60099939008573,100,True
P51,A,old,final_validation,2,39.645297379861404,-74.43717423965555,100,True
P51,A,old,final_validation,3,37.17170563275283,-80.68116072637986,100,True
P51,A,old,final_validation,4,-1.9883054153430066,-83.1854994617658,100,True
P51,A,old,final_validation,5,-118.10267881584093,-30.026236272347717,90,True
P52,A,old,initial_validation,1,-223.13215580086205,-61.12623892550705,30,True
P52,A,old,initial_validation,2,73.38382122723738,21.761327154083176,100,True
P52,A,old,initial_validation,3,-23.50582920494503,-32.618258923474514,100,True
P52,A,old,initial_validation,4,-211.03779395453006,-63.14675060452697,30,True
P52,A,old,initial_validation,5,0.9789791536901475,-102.52278320111054,60,True
P52,A,old,final_validation,1,-21.618596332577567,-9.517283465064594,100,True
P52,A,old,final_validation,2,104.30311602172901,-74.97887125970925,90,True
P52,A,old,final_validation,3,-24.975050842794076,-80.29428868989379,100,True
P52,A,old,final_validation,4,115.1272766436922,-106.64730924515004,70,True
P52,A,old,final_validation,5,154.8698263611234,-246.81235968517672,10,True
P53,A,old,initial_validation,1,-11.271831836648175,3.417734655141885,100,True
P53,A,old,initial_validation,2,-52.85590699927525,89.6487733372918,80,True
P53,A,old,initial_validation,3,-115.2008401631997,24.83919895627264,70,True
P53,A,old,initial_validation,4,79.34065010267454,-91.00484282763796,40,True
P53,A,old,initial_validation,5,-70.89526831770195,-8.240615463840527,100,True
P53,A,old,final_validation,1,10.237173146843475,12.644378734336442,100,True
P53,A,old,final_validation,2,17.2794892057791,90.335287702357,90,True
P53,A,old,final_validation,3,-264.5258623761456,208.71951677214201,0,True
P53,A,old,final_validation,4,39.51419780452716,88.33452302086562,80,True
P53,A,old,final_validation,5,-12.063966525375463,-153.86795727059916,70,True
P54,B,old,initial_validation,1,5.791162658255416,-10.208588258030005,100,True
P54,B,old,initial_validation,2,15.993802720229723,43.62373032299254,90,True
P54,B,old,initial_validation,3,-9.590766660955751,-27.133909192343594,100,True
P54,B,old,initial_validation,4,83.29626372871945,-45.28690731263907,100,True
P54,B,old,initial_validation,5,-5.216231720591509,-17.956306041976404,100,True
P54,B,old,final_validation,1,-16.29693133069702,78.08088053750006,100,True
P54,B,old,final_validation,2,-14.579228683268639,54.34696153899827,100,True
P54,B,old,final_validation,3,20.691347575051964,11.560790951065826,80,True
P54,B,old,final_validation,4,95.91212469683842,-72.16098808824478,100,True
P54,B,old,final_validation,5,30.495208497583462,-46.92588412373061,90,True
