participant,condition,engine,trial_index,audio_identifier,speaker,voice_type,window_width,window_height,person_side,gaze_sample_count,audio_time_covered_s,person_dwell_s,robot_dwell_s,off_screen_dwell_s,valid_dwell_pct,person_gaze_pct,eyetracking_mos,gaze_sample_rate_hz,person_box_left,person_box_top,person_box_right,person_box_bottom,robot_box_left,robot_box_top,robot_box_right,robot_box_bottom,audio_duration_s,audio_coverage_pct
P01,B,old,17,03 segundos brpe-28-syntacc-295Ksteps M-n-20db,brpe-28,synthetic,1854.0,961.0,left,113,3.841,1.02,2.821,0.0,100.0,26.555584483207497,2,29.419422025514187,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.8720208333333335,99.1988464249396
P01,B,old,19,03 segundos brpr-18-syntacc-295Ksteps F-n-20db,brpr-18,synthetic,1854.0,961.0,right,108,3.6359999999999997,2.957,0.6790000000000003,0.0,100.00000000000001,81.32563256325632,5,29.702970297029704,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.6480208333333333,99.67048342423116
P01,B,old,21,05 segundos brpr-22-syntacc-295Ksteps F-n-20db,brpr-22,synthetic,1854.0,961.0,left,159,5.404,3.162,2.242000000000001,0.0,100.00000000000001,58.5122131754256,3,29.422649888971133,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,5.408416666666667,99.91833715967397
P01,B,old,23,10 segundos brpr-29-gt F-n-20db,brpr-29,natural,1854.0,961.0,left,296,10.131,9.86,0.271,0.0,100.0,97.32504195044912,5,29.2172539729543,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,10.163020833333333,99.68492799672015
P01,B,old,25,03 segundos brrs-20-syntacc-295Ksteps F-n-20db,brrs-20,synthetic,1854.0,961.0,right,92,3.093,0.306,2.6860000000000004,0.10099999999999998,96.73456191399937,10.227272727272725,1,29.744584545748463,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.336,92.7158273381295
P01,B,old,27,07 segundos brmg-22-gt F-n-20db,brmg-22,natural,1854.0,961.0,left,203,7.003,6.7989999999999995,0.20400000000000001,0.0,99.99999999999999,97.08696273025846,5,28.98757675282022,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,7.026020833333333,99.67234891726885
P01,B,old,29,09 segundos brba-22-gt M-n-20db,brba-22,natural,1854.0,961.0,left,281,9.586,9.45,0.136,0.0,99.99999999999999,98.58126434383476,5,29.313582307531817,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,9.625,99.5948051948052
P01,B,old,31,06 segundos brsp-25-gt M-n-20db,brsp-25,natural,1854.0,961.0,left,198,6.764,6.764,0.0,0.0,100.0,100.0,5,29.272619751626255,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,6.786020833333334,99.67549711570047
P01,B,old,33,08 segundos brpr-28-gt F-n-20db,brpr-28,natural,1854.0,961.0,left,260,8.94,8.703,0.237,0.0,100.0,97.3489932885906,5,29.082774049217004,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,8.948020833333333,99.91036192826627
P01,B,old,35,03 segundos brrs-25-syntacc-295Ksteps M-n-20db,brrs-25,synthetic,1854.0,961.0,right,110,3.7049999999999996,1.665,2.04,0.0,100.00000000000001,44.93927125506073,3,29.68960863697706,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.7440208333333334,98.95778268683955
P01,B,old,37,06 segundos bral-24-gt M-n-20db,bral-24,natural,1854.0,961.0,right,196,6.832,6.215,0.617,0.0,99.99999999999999,90.96896955503513,5,28.688524590163937,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,6.846020833333333,99.79519733178336
P01,B,old,39,09 segundos brpr-24-gt F-n-20db,brpr-24,natural,1854.0,961.0,left,285,9.722999999999999,9.553,0.16999999999999998,0.0,100.00000000000001,98.2515684459529,5,29.311940759024996,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,9.767020833333333,99.54929108799382
P01,B,old,41,03 segundos bral-26-syntacc-295Ksteps M-n-20db,bral-26,synthetic,1854.0,961.0,left,98,3.399,0.781,2.618,0.0,99.99999999999999,22.977346278317153,2,28.832009414533687,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.4240208333333335,99.2692558091425
P01,B,old,43,11 segundos brpe-20-gt M-n-20db,brpe-20,natural,1854.0,961.0,right,325,11.151,10.097000000000001,1.054,0.0,100.00000000000001,90.54793292081428,5,29.145368128418976,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,11.168020833333333,99.84759310904461
P01,B,old,45,03 segundos bral-20-syntacc-295Ksteps M-n-20db,bral-20,synthetic,1854.0,961.0,right,96,3.229,0.7459999999999997,2.483,0.0,99.99999999999999,23.10312790337565,2,29.73056673892846,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.2480208333333334,99.41438696642187
P01,B,old,55,02 segundos brrs-10-syntacc-295Ksteps F-n-20db,brrs-10,synthetic,1854.0,961.0,left,68,2.2760000000000002,2.073,0.20299999999999999,0.0,99.99999999999997,91.08084358523726,5,29.876977152899823,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,2.3040208333333334,98.78382899460183
P01,B,old,57,02 segundos brsp-24-syntacc-295Ksteps M-n-20db,brsp-24,synthetic,1854.0,961.0,right,83,2.888,0.271,2.617,0.0,100.00000000000001,9.383656509695292,1,28.73961218836565,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.132,92.20945083014048
P01,B,old,59,03 segundos brrs-28-syntacc-295Ksteps M-n-20db,brrs-28,synthetic,1854.0,961.0,right,100,3.366,0.2739999999999997,3.0920000000000005,0.0,100.0,8.140225787284601,1,29.708853238265004,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.3920208333333335,99.23288108735575
P01,B,old,61,10 segundos brgo-28-gt M-n-20db,brgo-28,natural,1854.0,961.0,left,285,9.993,9.689,0.304,0.0,100.0,96.95787050935654,5,28.519963974782346,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,10.029020833333334,99.6408339963398
P01,B,old,63,03 segundos brpe-29-syntacc-295Ksteps M-n-20db,brpe-29,synthetic,1854.0,961.0,left,88,3.0920000000000005,0.542,2.5500000000000003,0.0,100.0,17.529107373868044,1,28.460543337645532,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.12,99.10256410256412
P01,B,old,65,04 segundos brsp-29-syntacc-295Ksteps M-n-20db,brsp-29,synthetic,1854.0,961.0,right,133,4.486,1.6300000000000003,2.856,0.0,100.00000000000003,36.33526526972804,2,29.647793134195275,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,4.496020833333334,99.77711772910304
P01,B,old,67,02 segundos brsp-22-syntacc-295Ksteps M-n-20db,brsp-22,synthetic,1854.0,961.0,right,74,2.651,0.6460000000000001,2.005,0.0,100.0,24.36816295737458,2,27.913994718973974,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,2.6720208333333333,99.21329829950801
P01,B,old,69,07 segundos brpr-20-gt F-n-20db,brpr-20,natural,1854.0,961.0,right,207,7.174,6.426,0.748,0.0,100.00000000000001,89.57345971563981,5,28.854195706718706,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,7.217020833333334,99.40389761472446
P01,B,old,71,05 segundos brrs-26-syntacc-295Ksteps F-n-20db,brrs-26,synthetic,1854.0,961.0,right,168,5.879,1.154,4.725,0.0,100.0,19.629188637523388,1,28.57628848443613,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,5.92,99.30743243243244
P01,B,old,73,08 segundos brrj-26-gt M-n-20db,brrj-26,natural,1854.0,961.0,right,252,8.837,7.989999999999999,0.847,0.0,100.0,90.41529930972048,5,28.51646486364151,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,8.846020833333334,99.89802382898147
P01,B,old,75,05 segundos brpr-10-gt F-n-20db,brpr-10,natural,1854.0,961.0,left,158,5.338,4.896,0.442,0.0,99.99999999999999,91.71974522292993,5,29.59910078681154,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,5.467020833333334,97.64001570020234
P01,B,old,77,07 segundos brce-22-gt M-n-20db,brce-22,natural,1854.0,961.0,right,201,6.969,6.46,0.509,0.0,99.99999999999999,92.69622614435356,5,28.842014636246233,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,7.001895833333333,99.53018676489403
P01,B,old,79,13 segundos brpb-20-gt M-n-20db,brpb-20,natural,1854.0,961.0,left,392,13.633,13.26,0.373,0.0,100.0,97.26399178464021,5,28.75375926061762,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,13.669020833333333,99.73647832004548
P01,B,old,81,11 segundos brpr-25-gt F-n-20db,brpr-25,natural,1854.0,961.0,left,340,11.865000000000002,11.56,0.305,0.0,99.99999999999999,97.42941424357353,5,28.65571007163927,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,11.906020833333333,99.65546143495328
P01,B,old,83,02 segundos brce-26-syntacc-295Ksteps M-n-20db,brce-26,synthetic,1854.0,961.0,right,80,2.684,0.952,1.7319999999999998,0.0,99.99999999999999,35.46944858420268,2,29.806259314456035,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,2.723,98.56775615130373
P01,B,old,93,03 segundos brsp-10-syntacc-295Ksteps M-n-20db,brsp-10,synthetic,1854.0,961.0,right,96,3.2300000000000004,0.136,3.094,0.0,99.99999999999999,4.210526315789474,1,29.721362229102162,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.2640208333333334,98.95770170993089
P01,B,old,95,03 segundos brrs-16-syntacc-295Ksteps F-n-20db,brrs-16,synthetic,1854.0,961.0,right,90,3.227,0.6799999999999997,2.547,0.0,100.0,21.07220328478462,2,27.889680818097304,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.2640208333333334,98.86579053187211
P01,B,old,97,03 segundos brpe-26-syntacc-295Ksteps M-n-20db,brpe-26,synthetic,1854.0,961.0,right,104,3.5010000000000003,1.5299999999999998,1.9710000000000003,0.0,100.0,43.70179948586117,3,29.705798343330475,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.552020833333333,98.56361108993121
P01,B,old,99,03 segundos brba-24-syntacc-295Ksteps M-n-20db,brba-24,synthetic,1854.0,961.0,right,110,3.66,0.884,2.776,0.0,99.99999999999999,24.153005464480877,2,30.05464480874317,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.979,91.98291027896457
P01,B,old,101,17 segundos brrs-21-gt F-n-20db,brrs-21,natural,1854.0,961.0,right,482,17.067,16.354,0.7129999999999999,0.0,100.0,95.82234721978085,5,28.24163590554872,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,17.109020833333332,99.75439369825617
P01,B,old,103,06 segundos brpr-13-gt F-n-20db,brpr-13,natural,1854.0,961.0,left,180,6.32,4.691,1.6290000000000002,0.0,100.0,74.22468354430379,4,28.481012658227847,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,6.326020833333334,99.90482432018547
P01,B,old,105,03 segundos brsp-28-syntacc-295Ksteps F-n-20db,brsp-28,synthetic,1854.0,961.0,left,103,3.6710000000000003,1.3250000000000002,2.346,0.0,100.0,36.09370743666577,2,28.057749931898663,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.7120208333333333,98.89491909730212
P01,B,old,107,02 segundos brsp-13-syntacc-295Ksteps F-n-20db,brsp-13,synthetic,1854.0,961.0,left,77,2.58,0.88,1.7,0.0,100.0,34.10852713178294,2,29.844961240310077,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,2.592020833333333,99.5362370094119
P01,B,old,109,09 segundos brmg-29-gt M-n-20db,brmg-29,natural,1854.0,961.0,left,261,9.315000000000001,9.247,0.068,0.0,99.99999999999999,99.26999463231348,5,28.01932367149758,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,9.324020833333334,99.9032516819237
P01,B,old,111,04 segundos brba-23-syntacc-295Ksteps F-n-20db,brba-23,synthetic,1854.0,961.0,left,120,4.045,0.679,3.3659999999999997,0.0,100.0,16.786155747836837,1,29.66625463535229,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,4.064020833333333,99.53197008299458
P01,B,old,113,07 segundos brpr-27-gt F-n-20db,brpr-27,natural,1854.0,961.0,right,200,7.003,6.29,0.713,0.0,99.99999999999999,89.81864915036412,5,28.5591889190347,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,7.246,96.64642561413193
P01,B,old,115,08 segundos brrs-29-gt F-n-20db,brrs-29,natural,1854.0,961.0,left,241,8.737,8.364,0.373,0.0,100.0,95.73080004578232,5,27.58383884628591,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,8.764020833333333,99.69168451505088
P01,B,old,117,03 segundos brpb-22-syntacc-295Ksteps M-n-20db,brpb-22,synthetic,1854.0,961.0,right,108,3.6369999999999996,0.03500000000000003,3.6019999999999994,0.0,100.0,0.9623315919714059,1,29.69480340940336,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.92,92.78061224489794
P01,B,old,119,06 segundos brpr-19-gt F-n-20db,brpr-19,natural,1854.0,961.0,left,157,6.184,6.184,0.0,0.0,100.0,100.0,5,25.38809831824062,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,6.228020833333333,99.29318101992006
P01,B,old,121,10 segundos brpe-22-gt M-n-20db,brpe-22,natural,1854.0,961.0,left,298,10.3,10.3,0.0,0.0,100.0,100.0,5,28.932038834951456,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,10.329020833333333,99.71903596864014
P01,B,old,131,03 segundos bral-23-syntacc-295Ksteps M-n-20db,bral-23,synthetic,1854.0,961.0,left,91,3.195,0.577,2.618,0.0,100.0,18.059467918622847,1,28.482003129890455,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.2160208333333333,99.34637135694342
P01,B,old,133,03 segundos brrs-18-syntacc-295Ksteps F-n-20db,brrs-18,synthetic,1854.0,961.0,left,103,3.467,1.3589999999999998,2.0740000000000003,0.03400000000000003,99.01932506489759,39.586367608505675,2,29.7086818575137,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.488020833333333,99.39734209347469
P01,B,old,135,06 segundos brmg-26-gt M-n-20db,brmg-26,natural,1854.0,961.0,right,174,6.051,5.1,0.679,0.27200000000000013,95.50487522723516,88.25056238103477,5,28.75557759048091,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,6.0614791666666665,99.82711865571866
P01,B,old,137,12 segundos brpr-21-gt F-n-20db,brpr-21,natural,1854.0,961.0,left,345,12.068999999999999,11.899999999999999,0.16899999999999998,0.0,100.0,98.59971828651916,5,28.585632612478253,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,12.089020833333333,99.83438829654317
P01,B,old,139,05 segundos brpr-14-gt F-n-20db,brpr-14,natural,1854.0,961.0,right,148,5.2,4.522,0.678,0.0,100.0,86.96153846153847,5,28.46153846153846,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,5.224020833333333,99.54018496289177
P01,B,old,141,03 segundos brrs-14-syntacc-295Ksteps F-n-20db,brrs-14,synthetic,1854.0,961.0,left,107,3.8080000000000003,0.578,3.23,0.0,99.99999999999999,15.178571428571429,1,28.098739495798316,193.40625,325.65625,677.125,635.328125,1176.859375,325.65625,1660.578125,635.328125,3.8240208333333334,99.58104743589045
P01,B,old,143,03 segundos brba-21-syntacc-295Ksteps M-n-20db,brba-21,synthetic,1854.0,961.0,right,98,3.2960000000000003,0.10099999999999999,3.195,0.0,99.99999999999999,3.0643203883495147,1,29.73300970873786,1176.859375,325.65625,1660.578125,635.328125,193.40625,325.65625,677.125,635.328125,3.3120208333333334,99.5162822295049
