participant,condition,engine,trial_index,audio_identifier,speaker,voice_type,mos_rating,rt_ms
P01,B,old,5,04 segundos brba-23-syntacc-295Ksteps F-n-20db,brba-23,synthetic,1,13918.0
P01,B,old,6,09 segundos brmg-29-gt M-n-20db,brmg-29,natural,5,10960.0
P01,B,old,7,05 segundos brpr-14-gt F-n-20db,brpr-14,natural,5,7901.0
P01,B,old,8,06 segundos brpr-19-gt F-n-20db,brpr-19,natural,5,10859.0
P01,B,old,9,07 segundos brpr-20-gt F-n-20db,brpr-20,natural,5,8542.0
P01,B,old,10,10 segundos brpe-22-gt M-n-20db,brpe-22,natural,4,12399.0
P01,B,old,11,03 segundos brrs-23-syntacc-295Ksteps F-n-20db,brrs-23,synthetic,2,7279.0
P01,B,old,12,05 segundos brpr-15-gt F-n-20db,brpr-15,natural,5,12026.0
P01,B,old,13,05 segundos brpr-22-syntacc-295Ksteps F-n-20db,brpr-22,synthetic,3,6876.0
P01,B,old,14,03 segundos bral-26-syntacc-295Ksteps M-n-20db,bral-26,synthetic,2,15605.0
P01,B,old,15,08 segundos brce-20-gt M-n-20db,brce-20,natural,4,11081.0
P01,B,old,16,03 segundos brrs-25-syntacc-295Ksteps M-n-20db,brrs-25,synthetic,3,7427.0
P01,B,old,17,06 segundos brpr-13-gt F-n-20db,brpr-13,natural,5,11255.0
P01,B,old,18,03 segundos brrs-16-syntacc-295Ksteps F-n-20db,brrs-16,synthetic,2,7048.0
P01,B,old,19,10 segundos brce-29-gt M-n-20db,brce-29,natural,4,23216.0
P01,B,old,20,03 segundos brrs-20-syntacc-295Ksteps F-n-20db,brrs-20,synthetic,3,6986.0
P01,B,old,21,02 segundos brsp-24-syntacc-295Ksteps M-n-20db,brsp-24,synthetic,1,5116.0
P01,B,old,22,04 segundos bral-22-syntacc-295Ksteps M-n-20db,bral-22,synthetic,1,8767.0
P01,B,old,23,02 segundos brsp-11-syntacc-295Ksteps M-n-20db,brsp-11,synthetic,2,6275.0
P01,B,old,24,11 segundos brpe-20-gt M-n-20db,brpe-20,natural,5,27252.0
P01,B,old,25,03 segundos brpr-18-syntacc-295Ksteps F-n-20db,brpr-18,synthetic,2,9206.0
P01,B,old,26,03 segundos bral-20-syntacc-295Ksteps M-n-20db,bral-20,synthetic,3,7138.0
P01,B,old,27,08 segundos brpr-28-gt F-n-20db,brpr-28,natural,5,16731.0
P01,B,old,28,13 segundos brpb-20-gt M-n-20db,brpb-20,natural,4,16223.0
P01,B,old,29,02 segundos brce-26-syntacc-295Ksteps M-n-20db,brce-26,synthetic,2,4995.0
P01,B,old,30,05 segundos brpr-10-gt F-n-20db,brpr-10,natural,5,6867.0
P01,B,old,31,12 segundos brpb-28-gt M-n-20db,brpb-28,natural,5,16277.0
P01,B,old,32,06 segundos brmg-26-gt M-n-20db,brmg-26,natural,3,7796.0
P01,B,old,33,03 segundos brsp-10-syntacc-295Ksteps M-n-20db,brsp-10,synthetic,1,4670.0
P01,B,old,34,02 segundos brsp-13-syntacc-295Ksteps F-n-20db,brsp-13,synthetic,1,7399.0
P01,B,old,35,08 segundos brrj-26-gt M-n-20db,brrj-26,natural,4,23305.0
P01,B,old,36,08 segundos brrs-29-gt F-n-20db,brrs-29,natural,5,11916.0
P01,B,old,37,06 segundos brsp-25-gt M-n-20db,brsp-25,natural,4,18114.0
P01,B,old,38,03 segundos brpe-26-syntacc-295Ksteps M-n-20db,brpe-26,synthetic,2,13150.0
P01,B,old,39,03 segundos bral-23-syntacc-295Ksteps M-n-20db,bral-23,synthetic,1,5667.0
P01,B,old,40,03 segundos brpe-29-syntacc-295Ksteps M-n-20db,brpe-29,synthetic,1,5686.0
P01,B,old,41,03 segundos brba-21-syntacc-295Ksteps M-n-20db,brba-21,synthetic,2,6430.0
P01,B,old,42,03 segundos brsp-28-syntacc-295Ksteps F-n-20db,brsp-28,synthetic,2,13177.0
P01,B,old,43,03 segundos brrs-18-syntacc-295Ksteps F-n-20db,brrs-18,synthetic,3,5988.0
P01,B,old,44,10 segundos brgo-28-gt M-n-20db,brgo-28,natural,5,11971.0
P01,B,old,45,10 segundos brpr-29-gt F-n-20db,brpr-29,natural,5,12957.0
P01,B,old,46,03 segundos brrs-14-syntacc-295Ksteps F-n-20db,brrs-14,synthetic,2,6317.0
P01,B,old,47,02 segundos brsp-22-syntacc-295Ksteps M-n-20db,brsp-22,synthetic,2,10498.0
P01,B,old,48,07 segundos brpr-27-gt F-n-20db,brpr-27,natural,5,11326.0
P01,B,old,49,03 segundos brrs-28-syntacc-295Ksteps M-n-20db,brrs-28,synthetic,2,9363.0
P01,B,old,50,09 segundos brpr-24-gt F-n-20db,brpr-24,natural,5,12648.0
